Bulbasaur 1 	Fushigidane
Hippowdon 450 	Kabaldon
Skorupi 451 	Scorpi
Drapion 452 	Dorapion
Croagunk 453 	Gureggru
Toxicroak 454 	Dokurog
Carnivine 455 	Muskippa
Finneon 456 	Keikouo
Lumineon 457 	Neolant
Mantyke 458 	Tamanta
Snover 459 	Yukikaburi
Abomasnow 460 	Yukinooh
Weavile 461 	Manyula
Magnezone 462 	Jibacoil
Lickilicky 463 	Berobelt
Rhyperior 464 	Dosidon
Tangrowth 465 	Mojumbo
Electivire 466 	Elekible
Magmortar 467 	Booburn
Togekiss 468 	Togekiss
Yanmega 469 	Megayanma
Leafeon 470 	Leafia
Glaceon 471 	Glacia
Gliscor 472 	Glion
Mamoswine 473 	Mammoo
Porygon-Z 474 	PorygonZ/PolygonZ
Gallade 475 	Erureido
Probopass 476 	Dainose
Dusknoir 477 	Yonoir
Froslass 478 	Yukimenoko
Rotom 479 	Rotom
Uxie 480 	Yuxie
Mesprit 481 	Emrit
Azelf 482 	Agnome
Dialga 483 	Dialga
Palkia 484 	Palkia
Heatran 485 	Heatran
Regigigas 486 	Regigigas
Giratina 487 	Giratina
Cresselia 488 	Crecelia
Phione 489 	Phione
Manaphy 490 	Manaphy
Darkrai 491 	Darkrai
Shaymin 492 	Shaymin
Arceus 493 	Arceus
Victini 494 	Victini
Snivy 495 	Tsutarja
Servine 496 	Janovy
Serperior 497 	Jalorda
Tepig 498 	Pokabu
Pignite 499 	Chaoboo
Emboar 500 	Enbuoh
Oshawott 501 	Mijumaru
Dewott 502 	Futachimaru
Samurott 503 	Daikenki
Patrat 504 	Minezumi
Watchog 505 	Miruhog
Lillipup 506 	Yorterrie
Herdier 507 	Herderrie
Stoutland 508 	Mooland
Purrloin 509 	Choroneko
Liepard 510 	Lepardas
Pansage 511 	Yanappu
Simisage 512 	Yanakkie
Pansear 513 	Baoppu
Simisear 514 	Baokkie
Panpour 515 	Hiyappu
Simipour 516 	Hiyakkie
Munna 517 	Munna
Musharna 518 	Musharna
Pidove 519 	Mamepato
Tranquill 520 	Hatoboh
Unfezant 521 	Kenhallow
Blitzle 522 	Shimama
Zebstrika 523 	Zebraika
Roggenrola 524 	Dangoro
Boldore 525 	Gantle
Gigalith 526 	Gigaiath
Woobat 527 	Koromori
Swoobat 528 	Kokoromori
Drilbur 529 	Mogurew
Excadrill 530 	Doryuzu
Audino 531 	Tabunne
Timburr 532 	Dokkorer
Gurdurr 533 	Dotekkotsu
Conkeldurr 534 	Roubushin
Tympole 535 	Otamaro
Palpitoad 536 	Gamagaru
Seismitoad 537 	Gamageroge
Throh 538 	Nageki
Sawk 539 	Dageki
Sewaddle 540 	Kurumiru
Swadloon 541 	Kurumayu
Leavanny 542 	Hahakomori
Venipede 543 	Fushide
Whirlipede 544 	Wheega
Scolipede 545 	Pendror
Cottonee 546 	Monmen
Whimsicott 547 	Elfuun
Petilil 548 	Churine
Lilligant 549 	Dredear
Basculin 550 	Bassrao
Sandile 551 	Meguroco
Krokorok 552 	Waruvile
Krookodile 553 	Waruvial
Darumaka 554 	Darumakka
Darmanitan 555 	Hihidaruma
Maractus 556 	Maracacchi
Dwebble 557 	Ishizumai
Crustle 558 	Iwapalace
Scraggy 559 	Zuruggu
Scrafty 560 	Zuruzukin
Sigilyph 561 	Symboler
Yamask 562 	Desumasu
Cofagrigus 563 	Desukarn
Tirtouga 564 	Protoga
Carracosta 565 	Abagoura
Archen 566 	Archen
Archeops 567 	Archeos
Trubbish 568 	Yabukuron
Garbodor 569 	Dustdas
Zorua 570 	Zorua
Zoroark 571 	Zoroark
Minccino 572 	Chillarmy
Cinccino 573 	Chillaccino
Gothita 574 	Gothimu
Gothorita 575 	Gothimiru
Gothitelle 576 	Gothiruselle
Solosis 577 	Uniran
Duosion 578 	Doublan
Reuniclus 579 	Lanculus
Ducklett 580 	Koaruhie
Swanna 581 	Swanna
Vanillite 582 	Vanipeti
Vanillish 583 	Vanirich
Vanilluxe 584 	Baivanilla
Deerling 585 	Shikijika
Sawsbuck 586 	Mebukijika
Emolga 587 	Emonga
Karrablast 588 	Kaburumo
Escavalier 589 	Chevargo
Foongus 590 	Tamagetake
Amoonguss 591 	Morobareru
Frillish 592 	Pururill
Jellicent 593 	Burungel
Alomomola 594 	Mamanbou
Joltik 595 	Bachuru
Galvantula 596 	Dentula
Ferroseed 597 	Tesseed
Ferrothorn 598 	Nutrey
Klink 599 	Giaru
Klang 600 	Gigiaru
Klinklang 601 	Gigigiaru
Tynamo  602 	Shibishirasu
Eelektrik 603 	Shibibeel
Eelektross 604 	Shibirudon
Elgyem 605 	Ligray
Beheeyem 606 	Ohbem
Litwick 607 	Hitomoshi
Lampent 608 	Lampler
Chandelure 609 	Chandela
Axew 610 	Kibago
Fraxure 611 	Onondo
Haxorus 612 	Ononokus
Cubchoo 613 	Kumasyun
Beartic 614 	Tunbear
Cryogonal 615 	Freegeo
Shelmet 616 	Chobomaki
Accelgor 617 	Agilder
Stunfisk 618 	Maggyo
Mienfoo 619 	Kojofu
Mienshao 620 	Kojondo
Druddigon 621 	Crimgan
Golett 622 	Gobit
Golurk 623 	Goloog
Pawniard 624 	Komatana
Bisharp 625 	Kirikizan
Bouffalant 626 	Buffron
Rufflet 627 	Washibon
Braviary 628 	Warrgle
Vullaby 629 	Valchai
Mandibuzz 630 	Vulgina
Heatmor 631 	Kuitaran
Durant 632 	Aiant
Deino 633 	Monozu
Zweilous 634 	Dihead
Hydreigon 635 	Sazandora
Larvesta 636 	Merlarva
Volcarona 637 	Ulgamoth
Cobalion 638 	Cobalon
Terrakion 639 	Terrakion
Virizion 640 	Virizion
Tornadus 641 	Tornelos
Thundurus 642 	Voltolos
Reshiram 643 	Reshiram
Zekrom 644 	Zekrom
Landorus 645 	Landlos
Kyurem 646 	Kyurem
Keldeo 647 	Keldeo
Meloetta 648 	Meloetta
Genesect 649 	Genesect
Chespin 650 	Harimaron
Quilladin 651 	Hariborg
Chesnaught 652 	Brigarron
Fennekin 653 	Fokko
Braixen 654 	Tairenar
Delphox 655 	Mahoxy
Froakie 656 	Keromatsu
Frogadier 657 	Gekogashira
Greninja 658 	Gekkouga
Bunnelby 659 	Horubee
Diggersby 660 	Horudo
Fletchling 661 	Yayakoma
Fletchinder 662 	Hinoyakoma
Talonflame 663 	Fiarrow
Scatterbug 664 	Kofukimushi
Spewpa 665 	Kofuurai
Vivillon 666 	Viviyon
Litleo 667 	Shishiko
Pyroar 668 	Kaenjishi
Flabebe 669 	Flabebe
Floette 670 	Floette
Florges 671 	Florges
Skiddo 672 	Meecle
Gogoat 673 	Gogoat
Pancham 674 	Yancham
Pangoro 675 	Goronda
Furfrou 676 	Trimmien
Espurr 677 	Nyasper
Meowstic 678 	Nyaonix
Honedge 679 	Hitotsuki
Doublade 680 	Nidangill
Aegislash 681 	Gillgard
Spritzee 682 	Shushupu
Aromatisse 683 	Frefuwan
Swirlix 684 	Peroppafu
Slurpuff 685 	Peroream
Inkay 686 	Maaiika
Malamar 687 	Calamanero
Binacle 688 	Kametete
Barbaracle 689 	Gamenodes
Skrelp 690 	Kuzumo
Dragalge 691 	Dramidoro
Clauncher 692 	Udeppou
Clawitzer 693 	Bloster
Helioptile 694 	Erikiteru
Heliolisk 695 	Elezard
Tyrunt 696 	Chigoras
Tyrantrum 697 	Gachigoras
Amaura 698 	Amarus
Aurorus 699 	Amaruruga
Sylveon 700 	Nymphia
Hawlucha 701 	Luchabull
Dedenne 702 	Dedenne
Carbink 703 	Melecie
Goomy 704 	Numera
Sliggoo 705 	Numeil
Goodra 706 	Numelgon
Klefki 707 	Cleffy
Phantump 708 	Bokurei
Trevenant 709 	Ohrot
Pumpkaboo 710 	Bakeccha
Gourgeist 711 	Pumpjin
Bergmite 712 	Kachikohru
Avalugg 713 	Crebase
Noibat 714 	Onbat
Noivern 715 	Onvern
Xerneas 716 	Xerneas
Yveltal 717 	Yveltal
Zygarde 718 	Zygarde
Diancie 719 	Diancie
Hoopa 720 	Hoopa
Volcanion 721 	Volcanion
